Original DataFrame Index,Unnamed: 0,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,Removal Reason
3,2,1077,60,Some major design flaws,"I had such high hopes for this dress and really wanted it to work for me. i initially ordered the petite small (my usual size) but i found this to be outrageously small. so small in fact that i could not zip it up! i reordered it in petite medium, which was just ok. overall, the top half was comfortable and fit nicely, but the bottom half had a very tight under layer and several somewhat cheap (net) over layers. imo, a major design flaw was the net over layer sewn directly into the zipper - it c",3,0,0,General,Dresses,Dresses,Exact duplicate of an earlier record
4,2,1077,60,Some major design flaws,"I had such high hopes for this dress and really wanted it to work for me. i initially ordered the petite small (my usual size) but i found this to be outrageously small. so small in fact that i could not zip it up! i reordered it in petite medium, which was just ok. overall, the top half was comfortable and fit nicely, but the bottom half had a very tight under layer and several somewhat cheap (net) over layers. imo, a major design flaw was the net over layer sewn directly into the zipper - it c",3,0,0,General,Dresses,Dresses,Exact duplicate of an earlier record
6,3,1049,50,My favorite buy!,"I love, love, love this jumpsuit. it's fun, flirty, and fabulous! every time i wear it, i get nothing but great compliments!",5,1,0,General Petite,Bottoms,Pants,Exact duplicate of an earlier record
12,8,1077,24,Flattering,I love this dress. i usually get an xs but it runs a little snug in bust so i ordered up a size. very flattering and feminine with the usual retailer flair for style.,5,1,0,General,Dresses,Dresses,Exact duplicate of an earlier record
497,493,1104,39,,,5,1,0,General,Dresses,Dresses,Exact duplicate of an earlier record
2963,2959,1094,30,,,5,1,0,General,Dresses,Dresses,Exact duplicate of an earlier record
4854,4850,829,66,,,5,1,0,General Petite,Tops,Blouses,Exact duplicate of an earlier record
5675,5671,861,34,,,5,1,0,General,Tops,Knits,Exact duplicate of an earlier record
5780,5776,868,61,,,5,1,0,General,Tops,Knits,Exact duplicate of an earlier record
9310,9306,834,70,,,5,1,0,General Petite,Tops,Blouses,Exact duplicate of an earlier record
9417,9413,1094,39,,,5,1,0,General Petite,Dresses,Dresses,Exact duplicate of an earlier record
9434,9430,1094,36,,,5,1,0,General Petite,Dresses,Dresses,Exact duplicate of an earlier record
10791,10787,1078,35,,,5,1,0,General,Dresses,Dresses,Exact duplicate of an earlier record
14133,14129,862,38,,,5,1,0,General Petite,Tops,Knits,Exact duplicate of an earlier record
15958,15954,872,36,,,5,1,0,General,Tops,Knits,Exact duplicate of an earlier record
17260,17256,850,37,,,5,1,0,General,Tops,Blouses,Exact duplicate of an earlier record
18751,18747,828,46,,,5,1,0,General Petite,Tops,Blouses,Exact duplicate of an earlier record
18944,18940,1078,35,,,5,1,0,General Petite,Dresses,Dresses,Exact duplicate of an earlier record
20062,20058,862,48,,,5,1,0,General Petite,Tops,Knits,Exact duplicate of an earlier record
21892,21888,1022,37,,"Love, love these jeans. being short they come right to my ankle. super soft and don?t require any hemming. i ordered my typical jean size of 26 and they fit like a glove. would love to have these in black and grey.",5,1,0,General,Bottoms,Jeans,Exact duplicate of an earlier record
21963,21959,1078,43,,,5,1,0,General,Dresses,Dresses,Exact duplicate of an earlier record
22250,22246,895,36,,,5,1,0,General Petite,Tops,Fine gauge,Exact duplicate of an earlier record
23025,23021,867,34,,,5,1,0,General,Tops,Knits,Exact duplicate of an earlier record
23262,23258,862,35,,,4,1,0,General,Tops,Knits,Exact duplicate of an earlier record
23484,23480,862,35,,,5,1,0,General Petite,Tops,Knits,Exact duplicate of an earlier record
