Clothing ID,Age,Rating,Recommended IND,Positive Feedback Count,Age IQR Outlier,Age Z-score Outlier,Feedback IQR Outlier,Feedback Z-score Outlier,DBSCAN Label,DBSCAN Outlier,Feedback Detection Count,Strong Feedback Outlier
767,33,4,1,0,False,False,False,False,0,False,0,False
1080,34,5,1,4,False,False,False,False,0,False,0,False
1077,60,3,0,0,False,False,False,False,0,False,0,False
1049,50,5,1,0,False,False,False,False,0,False,0,False
847,47,5,1,6,False,False,False,False,0,False,0,False
1080,49,2,0,4,False,False,False,False,0,False,0,False
858,39,5,1,1,False,False,False,False,0,False,0,False
858,39,4,1,4,False,False,False,False,0,False,0,False
1077,24,5,1,0,False,False,False,False,0,False,0,False
1077,34,5,1,0,False,False,False,False,0,False,0,False
1077,53,3,0,14,False,False,True,False,0,False,1,False
1095,39,5,1,2,False,False,False,False,0,False,0,False
1095,53,5,1,2,False,False,False,False,0,False,0,False
767,44,5,1,0,False,False,False,False,0,False,0,False
1077,50,3,1,1,False,False,False,False,0,False,0,False
1065,47,4,1,3,False,False,False,False,0,False,0,False
1065,34,3,1,2,False,False,False,False,0,False,0,False
853,41,5,1,0,False,False,False,False,0,False,0,False
1120,32,5,1,0,False,False,False,False,0,False,0,False
1077,47,5,1,0,False,False,False,False,0,False,0,False
847,33,4,1,2,False,False,False,False,0,False,0,False
1080,55,4,1,14,False,False,True,False,0,False,1,False
1077,31,2,0,7,False,False,False,False,0,False,0,False
1077,34,3,1,0,False,False,False,False,0,False,0,False
847,55,5,1,0,False,False,False,False,0,False,0,False
697,31,3,0,0,False,False,False,False,0,False,0,False
949,33,2,0,0,False,False,False,False,0,False,0,False
1003,31,4,1,0,False,False,False,False,0,False,0,False
684,53,5,1,2,False,False,False,False,0,False,0,False
4,28,5,1,0,False,False,False,False,0,False,0,False
1060,33,5,1,0,False,False,False,False,0,False,0,False
1060,46,5,1,7,False,False,False,False,0,False,0,False
1060,21,5,1,0,False,False,False,False,0,False,0,False
949,36,2,0,0,False,False,False,False,0,False,0,False
697,39,5,1,0,False,False,False,False,0,False,0,False
1060,65,4,1,3,False,False,False,False,0,False,0,False
1002,29,4,1,5,False,False,False,False,0,False,0,False
949,38,5,1,1,False,False,False,False,0,False,0,False
684,36,5,1,2,False,False,False,False,0,False,0,False
862,59,5,1,0,False,False,False,False,0,False,0,False
862,47,4,1,1,False,False,False,False,0,False,0,False
862,40,5,1,0,False,False,False,False,0,False,0,False
910,23,5,1,0,False,False,False,False,0,False,0,False
89,67,4,1,1,False,False,False,False,0,False,0,False
862,48,5,1,9,False,False,True,False,0,False,1,False
862,43,4,1,0,False,False,False,False,0,False,0,False
862,40,5,1,0,False,False,False,False,0,False,0,False
823,52,5,1,0,False,False,False,False,0,False,0,False
910,56,5,1,0,False,False,False,False,0,False,0,False
862,33,5,1,0,False,False,False,False,0,False,0,False
862,46,4,1,1,False,False,False,False,0,False,0,False
862,41,5,1,2,False,False,False,False,0,False,0,False
1104,39,3,1,3,False,False,False,False,0,False,0,False
862,39,5,1,34,False,False,True,True,0,False,2,True
862,66,4,1,2,False,False,False,False,0,False,0,False
862,61,5,1,2,False,False,False,False,0,False,0,False
368,33,2,0,3,False,False,False,False,0,False,0,False
862,31,3,0,0,False,False,False,False,0,False,0,False
1095,36,4,1,0,False,False,False,False,0,False,0,False
368,52,4,1,1,False,False,False,False,0,False,0,False
1095,41,5,1,0,False,False,False,False,0,False,0,False
368,36,1,0,0,False,False,False,False,0,False,0,False
862,28,5,1,0,False,False,False,False,0,False,0,False
862,57,5,1,1,False,False,False,False,0,False,0,False
862,43,5,1,0,False,False,False,False,0,False,0,False
862,58,4,1,2,False,False,False,False,0,False,0,False
862,60,4,1,9,False,False,True,False,0,False,1,False
862,40,5,1,1,False,False,False,False,0,False,0,False
862,37,2,0,0,False,False,False,False,0,False,0,False
