Method,Feature,Mean,Standard Deviation,Minimum,Q1,Median,Q3,Maximum,IQR,Skewness
Original,Age,43.174366616989566,12.275045816008797,18.0,34.0,41.0,52.0,99.0,18.0,0.5384714249461703
Original,Positive Feedback Count,2.547796465829253,5.651799717385409,0.0,0.0,1.0,3.0,117.0,3.0,6.117234015657103
MinMaxScaler,Age,0.3107946495924638,0.15154377550628143,0.0,0.19753086419753085,0.28395061728395066,0.41975308641975306,0.9999999999999999,0.2222222222222222,0.5384714249461701
MinMaxScaler,Positive Feedback Count,0.021776038169480795,0.04830598049047359,0.0,0.0,0.008547008547008548,0.025641025641025644,1.0,0.025641025641025644,6.117234015657102
StandardScaler,Age,1.4182112300938768e-16,1.0,-2.0508572427613925,-0.7473997860785656,-0.17713714877982886,0.7189898526896145,4.547896131695418,1.46638963876818,0.5384714249461701
StandardScaler,Positive Feedback Count,-2.4204138326935497e-17,1.0,-0.4507938343943819,-0.4507938343943819,-0.27385904370745856,0.08001053766638813,20.25057667597565,0.53080437206077,6.117234015657103
RobustScaler,Age,0.12079814538830932,0.6819469897782665,-1.2777777777777777,-0.3888888888888889,0.0,0.6111111111111112,3.2222222222222223,1.0,0.5384714249461697
RobustScaler,Positive Feedback Count,0.5159321552764176,1.88393323912847,-0.3333333333333333,-0.3333333333333333,0.0,0.6666666666666666,38.666666666666664,1.0,6.1172340156571
PowerTransformer,Age,-1.5846146810915582e-16,1.0,-2.751068726327779,-0.7066987602683706,-0.062238003472649524,0.7840459716658085,3.237669033519731,1.4907447319341791,-0.0060435713794298775
PowerTransformer,Positive Feedback Count,-2.0800431374710194e-17,1.0,-0.9699815402283865,-0.9699815402283865,0.2455060242710885,0.988104172932405,2.0490704510573714,1.9580857131607914,0.3296613494201488
