Column,Category,Frequency,Percentage,Cumulative_Percentage
Division Name,General,13850,58.97,58.97
Division Name,General Petite,8120,34.57,93.53999999999999
Division Name,Initmates,1502,6.4,99.94
Division Name,Unknown,14,0.06,100.0
Department Name,Tops,10468,44.57,44.57
Department Name,Dresses,6319,26.91,71.48
Department Name,Bottoms,3799,16.18,87.66
Department Name,Intimate,1735,7.39,95.05
Department Name,Jackets,1032,4.39,99.44
Department Name,Trend,119,0.51,99.95
Department Name,Unknown,14,0.06,100.01
Class Name,Dresses,6319,26.91,26.91
Class Name,Knits,4843,20.62,47.53
Class Name,Blouses,3097,13.19,60.72
Class Name,Sweaters,1428,6.08,66.8
Class Name,Pants,1388,5.91,72.71
Class Name,Jeans,1147,4.88,77.59
Class Name,Fine gauge,1100,4.68,82.27
Class Name,Skirts,945,4.02,86.29
Class Name,Jackets,704,3.0,89.29
Class Name,Lounge,691,2.94,92.23
Class Name,Swim,350,1.49,93.72
Class Name,Outerwear,328,1.4,95.12
Class Name,Shorts,317,1.35,96.47
Class Name,Sleep,228,0.97,97.44
Class Name,Legwear,165,0.7,98.14
Class Name,Intimates,154,0.66,98.8
Class Name,Layering,146,0.62,99.42
Class Name,Trend,119,0.51,99.93
Class Name,Unknown,14,0.06,99.99
Class Name,Casual bottoms,2,0.01,100.0
Class Name,Chemises,1,0.0,100.0
Rating,5,13131,55.91,55.91
Rating,4,5077,21.62,77.53
Rating,3,2871,12.22,89.75
Rating,2,1565,6.66,96.41
Rating,1,842,3.59,100.0
Recommended IND,1,19314,82.24,82.24
Recommended IND,0,4172,17.76,100.0
Clothing ID,1078,1024,4.36,4.36
Clothing ID,862,806,3.43,7.79
Clothing ID,1094,756,3.22,11.01
Clothing ID,1081,582,2.48,13.49
Clothing ID,872,545,2.32,15.81
Clothing ID,829,527,2.24,18.05
Clothing ID,1110,480,2.04,20.09
Clothing ID,868,430,1.83,21.92
Clothing ID,895,404,1.72,23.64
Clothing ID,936,358,1.52,25.16
Clothing ID,867,351,1.49,26.65
Clothing ID,850,338,1.44,28.09
Clothing ID,1095,327,1.39,29.48
Clothing ID,863,306,1.3,30.78
Clothing ID,1077,297,1.26,32.04
Clothing ID,1059,294,1.25,33.29
Clothing ID,1086,291,1.24,34.53
Clothing ID,1080,289,1.23,35.76
Clothing ID,860,288,1.23,36.99
Clothing ID,1083,249,1.06,38.05
Clothing ID,861,244,1.04,39.09
Clothing ID,873,238,1.01,40.1
Clothing ID,828,225,0.96,41.06
Clothing ID,1033,220,0.94,42.0
Clothing ID,1092,220,0.94,42.94
Clothing ID,927,214,0.91,43.85
Clothing ID,1056,213,0.91,44.76
Clothing ID,820,211,0.9,45.66
Clothing ID,836,205,0.87,46.53
Clothing ID,1022,205,0.87,47.4
Clothing ID,1072,197,0.84,48.24
Clothing ID,1008,186,0.79,49.03
Clothing ID,1104,185,0.79,49.82
Clothing ID,984,175,0.75,50.57
Clothing ID,831,164,0.7,51.27
Clothing ID,1020,158,0.67,51.94
Clothing ID,833,157,0.67,52.61
Clothing ID,877,154,0.66,53.27
Clothing ID,854,152,0.65,53.92
Clothing ID,834,150,0.64,54.56
Clothing ID,1082,147,0.63,55.19
Clothing ID,864,145,0.62,55.81
Clothing ID,835,141,0.6,56.41
Clothing ID,1099,136,0.58,56.99
Clothing ID,1035,135,0.57,57.56
Clothing ID,865,134,0.57,58.13
Clothing ID,907,130,0.55,58.68
Clothing ID,940,130,0.55,59.23
Clothing ID,1087,129,0.55,59.78
Clothing ID,1025,125,0.53,60.31
Clothing ID,909,122,0.52,60.83
Clothing ID,866,121,0.52,61.35
Clothing ID,975,116,0.49,61.84
Clothing ID,875,115,0.49,62.33
Clothing ID,1068,114,0.49,62.82
Clothing ID,830,112,0.48,63.3
Clothing ID,1037,106,0.45,63.75
Clothing ID,886,106,0.45,64.2
Clothing ID,823,105,0.45,64.65
Clothing ID,1060,103,0.44,65.09
Clothing ID,824,96,0.41,65.5
Clothing ID,825,93,0.4,65.9
Clothing ID,1089,92,0.39,66.29
Clothing ID,903,91,0.39,66.68
Clothing ID,1066,89,0.38,67.06
Clothing ID,1009,89,0.38,67.44
Clothing ID,996,88,0.37,67.81
Clothing ID,876,88,0.37,68.18
Clothing ID,1098,86,0.37,68.55
Clothing ID,1028,83,0.35,68.9
Clothing ID,941,83,0.35,69.25
Clothing ID,939,83,0.35,69.6
Clothing ID,949,79,0.34,69.94
Clothing ID,1096,78,0.33,70.27
Clothing ID,964,77,0.33,70.6
Clothing ID,1047,77,0.33,70.93
