Division Name,Department Name,Class Name,Rating,Recommended IND,Clothing ID
Initmates,Intimate,Intimates,4,1,767
General,Dresses,Dresses,5,1,1080
General,Dresses,Dresses,3,0,1077
General Petite,Bottoms,Pants,5,1,1049
General,Tops,Blouses,5,1,847
General,Dresses,Dresses,2,0,1080
General Petite,Tops,Knits,5,1,858
General Petite,Tops,Knits,4,1,858
General,Dresses,Dresses,5,1,1077
General,Dresses,Dresses,5,1,1077
General,Dresses,Dresses,3,0,1077
General Petite,Dresses,Dresses,5,1,1095
General Petite,Dresses,Dresses,5,1,1095
Initmates,Intimate,Intimates,5,1,767
General,Dresses,Dresses,3,1,1077
General,Bottoms,Pants,4,1,1065
General,Bottoms,Pants,3,1,1065
General,Tops,Blouses,5,1,853
General,Jackets,Outerwear,5,1,1120
General,Dresses,Dresses,5,1,1077
General,Tops,Blouses,4,1,847
General,Dresses,Dresses,4,1,1080
General,Dresses,Dresses,2,0,1077
General,Dresses,Dresses,3,1,1077
General,Tops,Blouses,5,1,847
Initmates,Intimate,Lounge,3,0,697
General,Tops,Sweaters,2,0,949
General,Bottoms,Skirts,4,1,1003
Initmates,Intimate,Lounge,5,1,684
General,Tops,Sweaters,5,1,4
General Petite,Bottoms,Pants,5,1,1060
General Petite,Bottoms,Pants,5,1,1060
General Petite,Bottoms,Pants,5,1,1060
General,Tops,Sweaters,2,0,949
Initmates,Intimate,Lounge,5,1,697
General Petite,Bottoms,Pants,4,1,1060
General,Bottoms,Skirts,4,1,1002
General,Tops,Sweaters,5,1,949
Initmates,Intimate,Lounge,5,1,684
General,Tops,Knits,5,1,862
General,Tops,Knits,4,1,862
General,Tops,Knits,5,1,862
General,Tops,Fine gauge,5,1,910
Initmates,Intimate,Sleep,4,1,89
General,Tops,Knits,5,1,862
General,Tops,Knits,4,1,862
General,Tops,Knits,5,1,862
General,Tops,Blouses,5,1,823
General,Tops,Fine gauge,5,1,910
General,Tops,Knits,5,1,862
General,Tops,Knits,4,1,862
General,Tops,Knits,5,1,862
General,Dresses,Dresses,3,1,1104
General,Tops,Knits,5,1,862
General,Tops,Knits,4,1,862
General,Tops,Knits,5,1,862
Initmates,Intimate,Intimates,2,0,368
General,Tops,Knits,3,0,862
General Petite,Dresses,Dresses,4,1,1095
Initmates,Intimate,Intimates,4,1,368
General Petite,Dresses,Dresses,5,1,1095
Initmates,Intimate,Intimates,1,0,368
General,Tops,Knits,5,1,862
General,Tops,Knits,5,1,862
General,Tops,Knits,5,1,862
General,Tops,Knits,4,1,862
General,Tops,Knits,4,1,862
General,Tops,Knits,5,1,862
General,Tops,Knits,2,0,862
General Petite,Dresses,Dresses,3,0,1078
General Petite,Tops,Blouses,4,1,845
General,Tops,Blouses,2,0,822
General,Tops,Blouses,5,1,850
General Petite,Tops,Knits,4,1,866
General Petite,Dresses,Dresses,5,1,1081
General Petite,Tops,Blouses,5,1,845
General,Dresses,Dresses,4,1,1082
General Petite,Tops,Blouses,2,0,850
General,Tops,Blouses,5,1,836
General Petite,Dresses,Dresses,4,1,1081
General,Dresses,Dresses,5,1,1072
General Petite,Tops,Knits,5,1,863
General,Jackets,Outerwear,5,1,1133
General,Tops,Blouses,5,1,822
General Petite,Tops,Knits,3,1,861
General Petite,Tops,Knits,1,0,866
General Petite,Tops,Blouses,4,1,850
General Petite,Dresses,Dresses,4,1,1081
General Petite,Tops,Blouses,2,0,845
General,Tops,Blouses,4,1,836
General Petite,Dresses,Dresses,4,1,1078
General Petite,Tops,Blouses,5,1,850
General Petite,Tops,Knits,5,1,861
General,Dresses,Dresses,5,1,1081
General Petite,Tops,Blouses,4,1,850
General,Tops,Knits,5,1,863
General Petite,Tops,Blouses,1,0,845
General Petite,Tops,Knits,1,0,861
General,Jackets,Outerwear,5,1,1133
General Petite,Tops,Knits,3,0,861
General Petite,Tops,Knits,4,1,861
General,Tops,Knits,4,1,863
General,Tops,Blouses,5,1,822
General,Tops,Blouses,2,0,822
General,Tops,Knits,2,0,863
General,Tops,Blouses,5,1,836
General,Tops,Blouses,4,1,836
General,Tops,Blouses,4,1,836
General,Tops,Blouses,5,1,836
General,Dresses,Dresses,5,1,1081
General Petite,Tops,Knits,1,0,861
General,Dresses,Dresses,3,1,1081
General,Tops,Blouses,5,1,836
General,Dresses,Dresses,5,1,1081
General,Dresses,Dresses,2,0,1082
General,Tops,Knits,4,1,863
General,Dresses,Dresses,4,1,1072
General Petite,Dresses,Dresses,5,1,1078
General,Tops,Blouses,2,0,850
General,Tops,Blouses,5,1,836
General Petite,Tops,Knits,5,1,861
General,Jackets,Jackets,5,1,966
General Petite,Dresses,Dresses,5,1,1196
General,Tops,Blouses,5,1,836
General,Tops,Sweaters,3,0,923
General,Dresses,Dresses,3,1,1072
General,Jackets,Outerwear,4,1,1133
General,Jackets,Outerwear,5,1,1133
General,Jackets,Jackets,4,1,966
General,Tops,Knits,5,1,863
General Petite,Tops,Blouses,4,1,845
General,Dresses,Dresses,3,1,1081
General Petite,Tops,Knits,4,1,861
General,Jackets,Jackets,5,1,966
General Petite,Tops,Blouses,5,1,845
General Petite,Tops,Knits,4,1,861
General,Jackets,Jackets,4,1,966
General,Tops,Blouses,4,1,836
Initmates,Intimate,Lounge,4,1,126
General,Bottoms,Skirts,5,1,1008
General,Tops,Blouses,5,1,829
General,Tops,Blouses,4,1,828
General,Jackets,Outerwear,5,1,1126
General,Bottoms,Skirts,5,1,1008
General,Tops,Blouses,3,0,829
General,Tops,Blouses,3,1,828
General,Bottoms,Skirts,5,1,1008
General,Bottoms,Skirts,5,1,1011
General,Bottoms,Skirts,5,1,1008
General,Bottoms,Skirts,5,1,1008
General,Bottoms,Skirts,5,1,1008
General,Bottoms,Skirts,4,1,1008
General,Tops,Blouses,3,0,829
General,Tops,Blouses,3,1,829
General Petite,Tops,Blouses,3,1,829
General Petite,Tops,Blouses,5,1,829
General,Bottoms,Skirts,5,1,1008
Initmates,Intimate,Swim,3,0,523
General Petite,Tops,Blouses,4,1,829
General Petite,Tops,Blouses,4,1,829
General,Jackets,Outerwear,4,1,1126
General Petite,Tops,Blouses,1,0,829
General Petite,Tops,Blouses,4,1,829
General,Bottoms,Skirts,5,1,1008
General,Jackets,Outerwear,4,1,1126
General Petite,Tops,Blouses,3,0,829
General Petite,Bottoms,Skirts,5,1,1020
General,Tops,Fine gauge,5,1,895
General,Tops,Knits,5,1,862
General,Dresses,Dresses,5,1,1104
Initmates,Intimate,Sleep,5,1,670
Initmates,Intimate,Sleep,5,1,329
Initmates,Intimate,Sleep,4,1,670
General Petite,Tops,Knits,4,1,868
General Petite,Bottoms,Skirts,5,1,1020
General,Tops,Knits,4,1,862
General,Tops,Fine gauge,5,1,895
General,Tops,Fine gauge,5,1,895
General Petite,Dresses,Dresses,2,0,1094
General,Tops,Fine gauge,5,1,895
General,Tops,Fine gauge,5,1,895
General Petite,Bottoms,Skirts,4,1,1020
General,Tops,Fine gauge,5,1,895
General Petite,Bottoms,Skirts,4,1,1020
General,Tops,Fine gauge,2,0,895
General,Tops,Fine gauge,2,0,895
General Petite,Bottoms,Skirts,4,1,1020
General,Trend,Trend,5,1,596
General Petite,Dresses,Dresses,4,1,1094
General Petite,Bottoms,Skirts,4,1,1020
General Petite,Tops,Fine gauge,4,1,895
General Petite,Tops,Fine gauge,2,0,895
General Petite,Tops,Fine gauge,5,1,895
General Petite,Bottoms,Skirts,5,1,1020
General,Dresses,Dresses,3,1,1098
General Petite,Tops,Fine gauge,5,1,895
General Petite,Tops,Knits,5,1,862
General Petite,Bottoms,Skirts,5,1,1020
General,Tops,Fine gauge,5,1,895
General Petite,Bottoms,Skirts,3,0,1020
General,Tops,Fine gauge,3,0,895
General,Tops,Fine gauge,5,1,895
General,Tops,Fine gauge,3,0,895
General,Tops,Fine gauge,5,1,895
General,Tops,Blouses,4,0,828
General Petite,Bottoms,Skirts,3,0,1020
General,Tops,Knits,5,1,862
General Petite,Bottoms,Skirts,4,1,1020
General,Tops,Fine gauge,5,1,895
General,Tops,Knits,1,0,862
General,Tops,Fine gauge,5,1,895
General Petite,Bottoms,Skirts,4,1,1020
General,Dresses,Dresses,4,1,1075
General,Dresses,Dresses,5,1,1104
General Petite,Bottoms,Skirts,1,0,1020
General Petite,Dresses,Dresses,5,1,1094
Initmates,Intimate,Swim,2,0,305
General,Tops,Blouses,5,1,828
General Petite,Dresses,Dresses,5,1,1094
General,Tops,Blouses,5,1,828
General Petite,Tops,Fine gauge,4,1,895
General Petite,Bottoms,Skirts,5,1,1020
General Petite,Tops,Fine gauge,5,1,895
General Petite,Intimate,Lounge,5,1,647
General,Bottoms,Jeans,4,1,1025
General,Bottoms,Jeans,5,1,1025
General Petite,Tops,Blouses,5,1,815
General,Bottoms,Pants,4,1,1066
General,Tops,Blouses,4,1,840
General,Bottoms,Jeans,4,1,1026
General,Tops,Blouses,5,1,840
General,Bottoms,Pants,5,1,1066
General,Tops,Blouses,2,0,840
General,Bottoms,Jeans,5,1,1030
General,Tops,Blouses,5,1,840
General,Bottoms,Pants,5,1,1066
General Petite,Intimate,Lounge,5,1,647
General,Bottoms,Pants,2,0,1066
General,Tops,Knits,5,1,872
General,Tops,Blouses,3,0,840
General,Bottoms,Pants,4,1,1066
General Petite,Intimate,Lounge,1,0,647
General,Bottoms,Pants,5,1,1066
General,Tops,Blouses,4,1,840
General,Bottoms,Pants,3,1,1066
General,Tops,Knits,5,1,872
General,Bottoms,Pants,3,1,1066
General,Jackets,Outerwear,4,1,1115
General,Bottoms,Jeans,5,1,1030
General,Bottoms,Skirts,4,1,1018
General,Bottoms,Jeans,5,1,1026
General,Tops,Blouses,5,1,840
General,Bottoms,Pants,5,1,1066
General Petite,Intimate,Lounge,5,1,647
General,Tops,Blouses,5,1,840
General,Tops,Blouses,4,1,840
General,Tops,Blouses,5,1,840
General,Bottoms,Skirts,4,1,1018
General,Tops,Blouses,3,0,840
General,Tops,Blouses,5,1,824
General,Jackets,Outerwear,5,1,1115
General,Tops,Blouses,5,1,840
General,Tops,Knits,3,0,878
General Petite,Jackets,Jackets,5,1,984
General,Dresses,Dresses,5,1,1104
General,Tops,Knits,4,1,878
General,Dresses,Dresses,5,1,1104
General Petite,Jackets,Jackets,4,1,984
General,Tops,Knits,4,1,866
General,Dresses,Dresses,5,1,1104
General,Tops,Knits,3,1,868
General Petite,Jackets,Jackets,5,1,984
General Petite,Jackets,Jackets,5,1,984
General,Dresses,Dresses,5,1,1104
General,Tops,Knits,5,1,878
General Petite,Tops,Knits,5,1,1182
General,Tops,Knits,5,1,868
General,Tops,Knits,5,1,868
General,Tops,Knits,3,1,868
General Petite,Trend,Trend,5,1,565
General Petite,Jackets,Jackets,5,1,984
General,Dresses,Dresses,5,1,1104
General,Tops,Knits,5,1,868
General,Tops,Knits,5,1,878
General,Tops,Knits,4,1,868
General,Dresses,Dresses,5,1,1104
General,Tops,Knits,2,0,868
General Petite,Jackets,Jackets,5,1,984
General,Tops,Knits,2,0,878
General Petite,Jackets,Jackets,5,1,984
General Petite,Jackets,Jackets,5,1,984
General Petite,Jackets,Jackets,5,1,984
