Number of Clusters,Covariance Type,AIC,BIC,Converged,Iterations
7,full,-184466.84477513784,-183289.47744756078,True,19
7,diag,-173729.64158281242,-173116.76543969012,True,27
6,full,-168250.47353271872,-167242.45356047808,True,23
6,diag,-166919.02182405483,-166394.8514384897,True,27
5,full,-143992.22724905735,-143153.55463215316,True,17
5,diag,-142621.7587046016,-142186.29407659365,True,15
4,full,-76384.10298832749,-75714.77772675971,True,20
4,diag,-75007.13804158947,-74660.37917113869,True,13
3,full,-66126.41866049074,-65626.4407542594,True,11
3,diag,-65401.57965809073,-65143.526545197135,True,10
7,tied,14728.080736943444,15179.673684507246,True,12
5,tied,16898.020611607553,17252.843641836254,True,7
6,tied,19476.59480132995,19879.8027902262,True,8
4,tied,20566.77165718,20873.209728741153,True,8
2,full,34611.926543148096,34942.55709404302,True,3
3,tied,35071.930300651635,35329.98341354523,True,9
2,tied,35937.73287486674,36147.40102909279,True,3
2,diag,36650.193838630265,36819.54119396669,True,3
7,spherical,259051.64302895995,259438.72269830035,True,6
6,spherical,262236.60401100223,262567.2345618972,True,7
5,spherical,265531.55903354875,265805.7404659982,True,6
4,spherical,276720.6685484505,276938.4008624545,True,6
3,spherical,302476.61230619723,302637.89550175576,True,4
2,spherical,308361.92344274244,308466.75751985546,True,2
