Clothing ID,Age,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,Review Text,Review Length,Rating Segment,Contradiction Type,Is Contradiction,GMM Cluster,Cluster Confidence,Cluster Uncertainty,Segment Name,Age Group,GMM Log Density,Density Anomaly,Low Confidence Anomaly,Age_Extreme,Positive_Feedback_Count_Extreme,Review_Length_Extreme,Extreme Feature Count,Density Rarity Score,Anomaly Score,Final Anomaly,Anomaly Type
867,56,1,1,12,General Petite,Tops,Knits,"Love this top! it's pretty, unique and well made. i did size down to a small for reference and still have a slightly oversized look.",25,Negative,Low Rating - Recommended,1,7,1.0,0.0,Critical but Recommending,50-59,-19.279044620773938,1,0,0,1,0,1,0.999914842885123,0.7332907547758948,1,Low GMM Density | Rating-Recommendation Contradiction
1059,85,2,1,2,General,Bottoms,Pants,"Unique print but not great execution. the pant legs are very tight, i have average sized calves and i sized up one size. the hook closure was oddly tight and difficult to clasp. when i first saw the color it looked like burnt sienna or a dried blood color. too bad this didn't work out.",55,Negative,Low Rating - Recommended,1,7,1.0,0.0,Critical but Recommending,70+,-9.571707599501766,1,0,1,0,0,1,0.9990632717363536,0.7328649692015101,1,Low GMM Density | Rating-Recommendation Contradiction
864,39,2,1,42,General,Tops,Knits,"I ordered these in both colors. the red is much deeper in person, more like a burgundy than pictured here. these tees are very slouchy. if you wanted a more fitted look, size down. these are very soft and very comfy and will pair well with ponte leggings and skinny jeans. the overall quality seems very good, although they are thinner than i thought they would be (they seemed like they would be thick and stiff to me based on the photos).
----------
overall these are very nice. but there is one is",93,Negative,Low Rating - Recommended,1,7,1.0,0.0,Critical but Recommending,30-39,-9.267655929118659,1,0,0,1,0,1,0.9988929575065997,0.7327798120866332,1,Low GMM Density | Rating-Recommendation Contradiction
939,64,5,0,23,General,Tops,Sweaters,"I've wondered abt this swtr but hesitated to order being it has dolman sleeves. decided to wait for it to come in at the local store. yesterday i spotted it in the store & tried on the orange, labeled 'red' online. i was really looking for the 'cream' but the store did not have it. well, the orange is really much prettier in person. fit is perfect in my usual size s. overall body fit & length is generous, sleeves are wrist length & i'm only 5'3"". most likely the sleeves will be shorter on taller",96,Positive,High Rating - Not Recommended,1,6,1.0,0.0,Dissatisfied Non-Recommenders,60-69,-9.250563499999659,1,0,0,1,0,1,0.9988503789491612,0.732758522807914,1,Low GMM Density | Rating-Recommendation Contradiction
830,47,2,1,8,General,Tops,Blouses,The top red is more like orange. was disappointed and returned it,12,Negative,Low Rating - Recommended,1,7,1.0,0.0,Critical but Recommending,40-49,-9.232392682253556,1,0,0,1,0,1,0.9988078003917227,0.7327372335291947,1,Low GMM Density | Rating-Recommendation Contradiction
895,67,5,0,16,General,Tops,Fine gauge,"This is the cutest sweater. i bought it today in black. i cannot wait to wear it. it is a lovely, distinctive knit & just the right weight to layer as shown with a white blouse or with a turtleneck. i tried both the xs and s; and i decided to go with the s as it still emphasized that i have waist, but i could layer it nicely. i am 5'4"", 130 lb. you can always count on angel of the north for great style.",86,Positive,High Rating - Not Recommended,1,6,1.0,0.0,Dissatisfied Non-Recommenders,60-69,-8.85290144593584,1,0,0,1,0,1,0.9985523290470919,0.7326094978568792,1,Low GMM Density | Rating-Recommendation Contradiction
1035,39,2,1,31,General,Bottoms,Jeans,"I agree with the other reviewer: the snaps at the ankle are a cute idea, but bad in execution. they look and feel odd when on.
----------
these fit tts, and they are soft with decent stretch. but the rise is much lower on me than other 8.5"" rise jeans i have; as a 43 year-old woman they seemed inappropriately low-hanging on me.
----------
as an aside, these will def. color transfer - there is a whole lotta rinse on these. and they have a strange chemical smell to them; not sure if that will diss",96,Negative,Low Rating - Recommended,1,7,1.0,0.0,Critical but Recommending,30-39,-8.187789226476175,1,0,0,1,0,1,0.9981265434727071,0.732396605069687,1,Low GMM Density | Rating-Recommendation Contradiction
1126,82,5,0,0,General Petite,Jackets,Outerwear,"This an absolutely beautiful quality stylish coat but through no fault of the coat, i had to return it because i looked like a bear in it. i'm too short and too round around the middle for this type check and this type material. i wouldn't want to discourage anyone from trying it.",53,Positive,High Rating - Not Recommended,1,2,0.9979131373013087,0.002086862698691294,Dissatisfied Non-Recommenders,70+,-6.704612312851262,1,0,1,0,0,1,0.9966362939623605,0.7320688528542519,1,Low GMM Density | Rating-Recommendation Contradiction
1110,47,4,0,51,General,Dresses,Dresses,I loved this dress. the details in the embroidery are gorgeous and reminds me of another holding horses dress i own. what didn't work out is its a swing design but the fabric is thick and doesn't swing well. it's white and makes one look a bit heavier because of the generous cut. this could work on a tall person but on my short frame it didn't work.,68,Positive,High Rating - Not Recommended,1,6,1.0,0.0,Dissatisfied Non-Recommenders,40-49,-7.054832593489953,1,0,0,1,0,1,0.9970620795367453,0.7318643731017059,1,Low GMM Density | Rating-Recommendation Contradiction
881,58,2,1,10,General,Tops,Knits,"I loved this top but the cut was too short in the waist for my 5'8"" frame. wish it came in a tall size!",24,Negative,Low Rating - Recommended,1,7,1.0,0.0,Critical but Recommending,50-59,-6.9201971850006405,1,0,0,1,0,1,0.9969343438644299,0.7318005052655483,1,Low GMM Density | Rating-Recommendation Contradiction
