Customer_ID,Average_Session_Duration,Average_Pages_Viewed,Purchase_Frequency,Total_Spending,Average_Engagement_Score,Cluster,Engagement_Level,Highly_Engaged
CUST_00001,8.0,9.0,1,219.32,39.404,1,Low Engagement,0
CUST_00002,3.0,8.0,1,332.34,29.502499999999998,1,Low Engagement,0
CUST_00003,9.0,5.0,1,66.44,20.192,1,Low Engagement,0
CUST_00004,9.0,6.0,1,112.65,24.753999999999998,1,Low Engagement,0
CUST_00005,13.0,7.0,1,349.45,41.519999999999996,1,Low Engagement,0
CUST_00006,17.0,9.0,1,131.96,52.4455,0,High Engagement,0
CUST_00007,19.0,13.0,1,150.41,69.076,0,High Engagement,1
CUST_00008,15.0,8.0,1,49.1,40.853500000000004,1,Low Engagement,0
CUST_00009,13.0,3.0,1,55.89,24.978,1,Low Engagement,0
CUST_00010,22.0,9.0,1,215.13,59.8015,0,High Engagement,0
CUST_00011,11.0,8.0,1,770.72,46.37899999999999,1,Low Engagement,0
CUST_00012,3.0,8.0,1,1090.15,35.048500000000004,1,Low Engagement,0
CUST_00013,3.0,6.0,1,53.73,13.151499999999999,1,Low Engagement,0
CUST_00014,9.0,9.0,1,30.18,34.26349999999999,1,Low Engagement,0
CUST_00015,12.0,16.0,1,284.16,64.535,0,High Engagement,1
CUST_00016,10.0,9.0,1,868.4,50.0255,1,Low Engagement,0
CUST_00017,3.0,8.0,1,67.22,22.1525,1,Low Engagement,0
CUST_00018,20.0,6.0,1,198.21,44.360499999999995,1,Low Engagement,0
CUST_00019,8.0,10.0,1,321.57,46.092499999999994,1,Low Engagement,0
CUST_00020,9.0,4.0,1,303.91,25.637500000000003,1,Low Engagement,0
CUST_00021,14.0,6.0,1,449.19,40.6135,1,Low Engagement,0
CUST_00022,15.0,10.0,1,26.23,49.4085,0,High Engagement,0
CUST_00023,7.0,9.0,1,245.95,38.17349999999999,1,Low Engagement,0
CUST_00024,6.0,11.0,1,79.59,40.007,1,Low Engagement,0
CUST_00025,4.0,6.0,1,89.32,15.834499999999998,1,Low Engagement,0
CUST_00026,19.0,9.0,1,176.44,56.214,0,High Engagement,0
CUST_00027,15.0,6.0,1,245.89,39.1845,1,Low Engagement,0
CUST_00028,11.0,14.0,1,604.91,65.187,0,High Engagement,1
CUST_00029,3.0,7.0,1,230.37,22.897499999999997,1,Low Engagement,0
CUST_00030,12.0,11.0,1,2497.83,65.9165,0,High Engagement,1
CUST_00031,34.0,8.0,1,131.13,57.5675,0,High Engagement,0
CUST_00032,11.0,8.0,1,88.67,35.946999999999996,1,Low Engagement,0
CUST_00033,12.0,10.0,1,41.88,45.199,1,Low Engagement,0
CUST_00034,11.0,6.0,1,2028.13,41.56999999999999,1,Low Engagement,0
CUST_00035,6.0,9.0,1,9406.46,48.020999999999994,2,Medium Engagement,0
CUST_00036,2.0,8.0,1,2424.48,36.887,1,Low Engagement,0
CUST_00037,19.0,11.0,1,59.08,60.318000000000005,0,High Engagement,0
CUST_00038,9.0,7.0,1,391.05,34.644,1,Low Engagement,0
CUST_00039,5.0,10.0,1,471.56,43.194,1,Low Engagement,0
CUST_00040,12.0,7.0,1,361.87,39.881,1,Low Engagement,0
CUST_00041,22.0,9.0,1,3767.04,71.03349999999999,0,High Engagement,1
CUST_00042,8.0,6.0,1,1058.96,33.6605,1,Low Engagement,0
CUST_00043,4.0,12.0,1,650.45,50.356,1,Low Engagement,0
CUST_00044,32.0,16.0,1,271.36,81.83550000000001,0,High Engagement,1
CUST_00045,12.0,7.0,1,241.44,37.83299999999999,1,Low Engagement,0
CUST_00046,19.0,8.0,1,140.24,50.067499999999995,1,Low Engagement,0
CUST_00047,22.0,12.0,1,183.08,70.59349999999999,0,High Engagement,1
CUST_00048,4.0,7.0,1,139.34,21.4485,1,Low Engagement,0
CUST_00049,7.0,11.0,1,266.28,47.1935,1,Low Engagement,0
CUST_00050,13.0,10.0,1,933.58,60.526,0,High Engagement,0
CUST_00051,10.0,10.0,1,1222.37,56.104,0,High Engagement,0
CUST_00052,7.0,11.0,1,101.46,42.473499999999994,1,Low Engagement,0
CUST_00053,16.0,8.0,1,1351.08,57.0655,0,High Engagement,0
CUST_00054,16.0,8.0,1,3314.93,59.3955,0,High Engagement,0
CUST_00055,15.0,14.0,1,567.2,71.6615,0,High Engagement,1
CUST_00056,14.0,6.0,1,199.44,36.5775,1,Low Engagement,0
CUST_00057,16.0,9.0,1,97.88,49.651999999999994,1,Low Engagement,0
CUST_00058,21.0,11.0,1,844.32,74.3005,0,High Engagement,1
CUST_00059,9.0,9.0,1,187.42,40.555499999999995,1,Low Engagement,0
CUST_00060,28.0,8.0,1,19.74,50.8805,0,High Engagement,0
CUST_00061,9.0,8.0,1,21478.35,48.587,2,Medium Engagement,0
CUST_00062,3.0,11.0,1,1218.98,49.085,1,Low Engagement,0
CUST_00063,13.0,8.0,1,922.6,50.778999999999996,1,Low Engagement,0
CUST_00064,11.0,14.0,1,377.6,62.88699999999999,0,High Engagement,1
CUST_00065,6.0,10.0,1,164.43,39.2835,1,Low Engagement,0
CUST_00066,33.0,10.0,1,1344.46,78.02399999999999,0,High Engagement,1
CUST_00067,14.0,7.0,1,1547.76,49.7395,1,Low Engagement,0
CUST_00068,14.0,13.0,1,2613.26,74.441,0,High Engagement,1
CUST_00069,18.0,8.0,1,103.32,47.4885,1,Low Engagement,0
CUST_00070,27.0,8.0,1,193.72,57.4095,0,High Engagement,0
CUST_00071,12.0,6.0,1,52.97,27.747,1,Low Engagement,0
CUST_00072,9.0,12.0,1,604.93,58.075500000000005,0,High Engagement,0
CUST_00073,10.0,11.0,1,875.18,58.6895,0,High Engagement,0
CUST_00074,27.0,7.0,1,1545.66,62.3665,0,High Engagement,1
CUST_00075,24.0,9.0,1,250.32,62.159,0,High Engagement,1
CUST_00076,34.0,14.0,1,82.63,75.5135,0,High Engagement,1
CUST_00077,7.0,13.0,1,165.02,49.8555,0,High Engagement,0
CUST_00078,12.0,6.0,1,39.77,27.046999999999997,1,Low Engagement,0
CUST_00079,11.0,6.0,1,465.86,35.546,1,Low Engagement,0
CUST_00080,47.0,9.0,1,252.16,66.693,0,High Engagement,1
CUST_00081,23.0,8.0,1,4917.33,67.2245,2,Medium Engagement,0
CUST_00082,12.0,6.0,1,1278.65,41.923,1,Low Engagement,0
CUST_00083,26.0,10.0,1,42.89,60.86899999999999,0,High Engagement,0
CUST_00084,11.0,8.0,1,2289.9,50.218999999999994,1,Low Engagement,0
CUST_00085,5.0,3.0,1,265.45,17.49,1,Low Engagement,0
CUST_00086,15.0,17.0,1,274.03,69.56649999999999,0,High Engagement,1
CUST_00087,9.0,7.0,1,39.28,25.061999999999994,1,Low Engagement,0
CUST_00088,6.0,7.0,1,781.4,32.6135,1,Low Engagement,0
CUST_00089,7.0,10.0,1,688.94,47.943999999999996,1,Low Engagement,0
CUST_00090,24.0,8.0,1,112.21,53.2505,0,High Engagement,0
CUST_00091,46.0,5.0,1,1526.15,58.985,0,High Engagement,0
CUST_00092,9.0,6.0,1,556.56,32.65,1,Low Engagement,0
CUST_00093,21.0,12.0,1,539.39,75.2205,0,High Engagement,1
CUST_00094,15.0,9.0,1,88.89,47.80599999999999,1,Low Engagement,0
CUST_00095,4.0,8.0,1,1167.88,36.2915,1,Low Engagement,0
CUST_00096,37.0,7.0,1,14.65,48.1215,0,High Engagement,0
CUST_00097,30.0,11.0,1,616.85,77.91950000000001,0,High Engagement,1
CUST_00098,13.0,13.0,1,444.91,65.9975,0,High Engagement,1
CUST_00099,14.0,8.0,1,235.59,45.7425,1,Low Engagement,0
CUST_00100,21.0,6.0,1,1722.72,55.050999999999995,1,Low Engagement,0
CUST_00101,64.0,6.0,1,2291.88,62.87199999999999,0,High Engagement,1
CUST_00102,17.0,8.0,1,220.17,49.885000000000005,1,Low Engagement,0
CUST_00103,22.0,9.0,1,734.8,65.9335,0,High Engagement,1
CUST_00104,6.0,14.0,1,2036.49,60.7525,0,High Engagement,0
CUST_00105,5.0,6.0,1,169.86,20.022000000000002,1,Low Engagement,0
CUST_00106,29.0,8.0,1,2507.04,69.072,0,High Engagement,1
CUST_00107,12.0,14.0,1,1780.56,71.392,0,High Engagement,1
CUST_00108,26.0,5.0,1,107.61,43.202999999999996,1,Low Engagement,0
