Generated Feature
Division Name_General
Division Name_General Petite
Division Name_Initmates
Division Name_Unknown
Department Name_Bottoms
Department Name_Dresses
Department Name_Intimate
Department Name_Jackets
Department Name_Tops
Department Name_Trend
Department Name_Unknown
Class Name Binned_Blouses
Class Name Binned_Dresses
Class Name Binned_Fine gauge
Class Name Binned_Intimates
Class Name Binned_Jackets
Class Name Binned_Jeans
Class Name Binned_Knits
Class Name Binned_Layering
Class Name Binned_Legwear
Class Name Binned_Lounge
Class Name Binned_Outerwear
Class Name Binned_Pants
Class Name Binned_Rare
Class Name Binned_Shorts
Class Name Binned_Skirts
Class Name Binned_Sleep
Class Name Binned_Sweaters
Class Name Binned_Swim
Class Name Binned_Trend
Class Name Binned_Unknown
