Component,Rank,Clothing Feature,Loading
1,1,Clothing ID_1078,1.0
1,2,Clothing ID_1092,5.050063e-05
1,3,Clothing ID_861,-3.440517e-05
1,4,Clothing ID_1072,-3.427344e-05
1,5,Clothing ID_873,-3.295053e-05
2,1,Clothing ID_862,0.9999995
2,2,Clothing ID_984,8.875661e-05
2,3,Clothing ID_1008,8.753767e-05
2,4,Clothing ID_873,8.114233e-05
2,5,Clothing ID_1056,-7.504153e-05
3,1,Clothing ID_1094,0.9999998
3,2,Clothing ID_1022,-7.517164e-05
3,3,Clothing ID_1083,-5.5064484e-05
3,4,Clothing ID_831,4.443601e-05
3,5,Clothing ID_833,-4.3457432e-05
4,1,Clothing ID_1081,0.99999875
4,2,Clothing ID_1092,0.00061585836
4,3,Clothing ID_861,-0.0004730241
4,4,Clothing ID_873,-0.0004207583
4,5,Clothing ID_1072,-0.0003913987
5,1,Clothing ID_872,0.9999993
5,2,Clothing ID_1092,-0.0005642776
5,3,Clothing ID_834,-0.0004285356
5,4,Clothing ID_927,0.00032708317
5,5,Clothing ID_1008,0.000304547
6,1,Clothing ID_829,0.9999969
6,2,Clothing ID_1092,-0.001022423
6,3,Clothing ID_927,0.0009476171
6,4,Clothing ID_1022,0.00094658823
6,5,Clothing ID_831,-0.0008046754
7,1,Clothing ID_1110,0.9999895
7,2,Clothing ID_1092,0.0020258697
7,3,Clothing ID_820,-0.0018969782
7,4,Clothing ID_831,-0.0018194378
7,5,Clothing ID_1033,-0.0014158223
8,1,Clothing ID_868,0.99995846
8,2,Clothing ID_1092,-0.0043638186
8,3,Clothing ID_1033,0.0034646576
8,4,Clothing ID_831,0.0031596338
8,5,Clothing ID_895,-0.0028985261
9,1,Clothing ID_895,0.99962676
9,2,Clothing ID_1092,-0.015765114
9,3,Clothing ID_927,0.009860558
9,4,Clothing ID_1033,0.0075691063
9,5,Clothing ID_1083,0.0053233183
10,1,Clothing ID_936,0.99985015
10,2,Clothing ID_831,-0.006695845
10,3,Clothing ID_1056,-0.0051938756
10,4,Clothing ID_1086,-0.004897301
10,5,Clothing ID_861,0.0047298963
11,1,Clothing ID_867,0.9991203
11,2,Clothing ID_1092,-0.019087749
11,3,Clothing ID_850,-0.016309757
11,4,Clothing ID_927,0.011183176
11,5,Clothing ID_1022,0.010342156
12,1,Clothing ID_850,0.998506
12,2,Clothing ID_1095,-0.019050226
12,3,Clothing ID_1022,0.016835285
12,4,Clothing ID_867,0.015010386
12,5,Clothing ID_836,0.014757824
13,1,Clothing ID_1095,0.9991167
13,2,Clothing ID_850,0.017706722
13,3,Clothing ID_836,0.016043594
13,4,Clothing ID_1083,0.014829928
13,5,Clothing ID_1022,0.014699021
14,1,Clothing ID_863,0.98714286
14,2,Clothing ID_1077,-0.09182937
14,3,Clothing ID_1059,-0.081300355
14,4,Clothing ID_1086,-0.043811385
14,5,Clothing ID_873,0.040676534
15,1,Clothing ID_1077,0.9795493
15,2,Clothing ID_1059,-0.093493626
15,3,Clothing ID_1086,-0.0878706
15,4,Clothing ID_860,-0.08148322
15,5,Clothing ID_863,0.071019694
16,1,Clothing ID_1059,0.93065536
16,2,Clothing ID_1086,-0.31201467
16,3,Clothing ID_860,0.10279362
16,4,Clothing ID_863,0.0630663
16,5,Clothing ID_1077,0.059264377
17,1,Clothing ID_1086,0.83647776
17,2,Clothing ID_1059,0.30760723
17,3,Clothing ID_860,-0.2961234
17,4,Clothing ID_1080,-0.28931677
17,5,Clothing ID_1077,0.0891054
18,1,Clothing ID_1080,0.89531755
18,2,Clothing ID_1086,0.3653151
18,3,Clothing ID_860,0.22799101
18,4,Clothing ID_1059,0.044815227
18,5,Clothing ID_1056,-0.044281904
19,1,Clothing ID_860,0.9128626
19,2,Clothing ID_1080,-0.3125447
19,3,Clothing ID_1086,0.19829392
19,4,Clothing ID_1077,0.10088056
19,5,Clothing ID_861,0.06489741
20,1,Clothing ID_1083,0.9261782
20,2,Clothing ID_1092,0.191176
20,3,Clothing ID_1022,-0.16506435
20,4,Clothing ID_861,0.14431706
20,5,Clothing ID_873,-0.13973606
