Age,Rating,Positive Feedback Count,Clothing ID Frequency,Clothing ID Target Encoded,Division Name_General,Division Name_General Petite,Division Name_Initmates,Division Name_Unknown,Department Name_Bottoms,Department Name_Dresses,Department Name_Intimate,Department Name_Jackets,Department Name_Tops,Department Name_Trend,Department Name_Unknown,Class Name Binned_Blouses,Class Name Binned_Dresses,Class Name Binned_Fine gauge,Class Name Binned_Intimates,Class Name Binned_Jackets,Class Name Binned_Jeans,Class Name Binned_Knits,Class Name Binned_Layering,Class Name Binned_Legwear,Class Name Binned_Lounge,Class Name Binned_Outerwear,Class Name Binned_Pants,Class Name Binned_Rare,Class Name Binned_Shorts,Class Name Binned_Skirts,Class Name Binned_Sleep,Class Name Binned_Sweaters,Class Name Binned_Swim,Class Name Binned_Trend,Class Name Binned_Unknown,Recommended IND
33,4,0,8.515711487694797e-05,0.8308027239849051,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,5,4,0.012305203099718982,0.841787428814732,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,3,0,0.012645831559226774,0.8118136498305747,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,5,0,0.0013625138380311676,0.8634761917433961,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
47,5,6,0.00017031422975389594,0.7831836763658574,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,2,4,0.012305203099718982,0.8277200696505385,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,5,1,0.0008941497062079537,0.7068867126746737,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,4,4,0.0008941497062079537,0.7148035836560427,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,5,0,0.012645831559226774,0.7879651038308512,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,5,0,0.012645831559226774,0.7970348708806417,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,3,14,0.012645831559226774,0.8135170870732668,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,5,2,0.013923188282380993,0.7929743064880683,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,5,2,0.013923188282380993,0.7929743064880683,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,5,0,8.515711487694797e-05,0.8308444092987418,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,3,1,0.012645831559226774,0.7879651038308512,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,4,3,0.0006812569190155838,0.7886082968930002,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
34,3,2,0.0006812569190155838,0.8208945998475348,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
41,5,0,0.0002554713446308439,0.8455535910988512,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,5,0,8.515711487694797e-05,0.8308534122042026,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
47,5,0,0.012645831559226774,0.7879651038308512,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,4,2,0.00017031422975389594,0.7831836763658574,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,4,14,0.012305203099718982,0.8277200696505385,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,2,7,0.012645831559226774,0.8135170870732668,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,3,0,0.012645831559226774,0.7893734849238362,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,5,0,0.00017031422975389594,0.7831836763658574,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
